Q_RecaptchaScore,Consent,Q86,Q87_1,Friend_happy,Friend_happy_why,BF_happy,BF_happy_why,nbf_happy,nbf_happy_why,mom_happy,mom_happy_why,friendmom_happy,friendmom_happy_why,BF_sad,BF_sad_why,Friend_sad,Friend_sad_why,nbf_sad,nbf_sad_why,friendmom_sad,friend_mom_sad_why,mom_sad,mom_sad_why,Gender,Age,Ethnicity,Race,Education,comments,,Q_RelevantIDDuplicateScore
1,1,3,1,0,They are not super close and telling Taylor about Rabbits would make more sense and keep the conversation going.,1,She will start by telling her super close friend how happy she is. They are close and Jamie will like to share her happiness with her close friend.,0,Facts about Rabbits is a good topic and the friend might also know more about rabbits. Therefore they will talk more about rabbits as they get to know each other.,0,Jammie is a kid and her Mom will tell her about raccoons because they are interesting to talk about,0,Jammies friend's Mom will tell her about lizards because that will make her more happy and she will love to hear about lizards,0,It will be hard for Peyton to understand his feeling but topic about the owls will be interesting to his friend,0,Talking about his feeling would be less fun but about owls they will have fun talking about it.,0,Talking about his feelings with someone he just met might scare the friend away.,0,The Mom's friend does not know Skylar is sad and wouldn't want to have a boring conversation. Facts about geese will be more interesting to Skylar,0,His mom cares about him and she would try as much as possible to hide the fact that she is sad. Instead she will tell him about foxes to cheer him up.,1,13,2,1,5,,,
1,1,3,1,1,People like to talk about themselves.,1,Nobody cares about rabbits.,1,People like to talk about themselves.,1,People like to talk about themselves.,1,People like to talk about themselves.,1,"The answer to this is the same as the previous write-in answer. People like to talk about themselves, not useless trivial facts.",1,"Because nobody cares about facts about owls. They're interested in themselves, so that's what they'd talk about.",1,"Once again, people want to talk about themselves and their problems, not trivia.",1,I'm running out of ways to say that people want to talk about themselves. But that's the answer.,1,People are self-centered and want to talk about themselves.,2,33,2,"1,5",3,,,
1,1,3,1,0,"I think people are more likely to talk about facts than whether they feel happy,",0,"I think people are more likely to talk about facts than whether they feel happy,",1,I think sharing something like your feelings are more likely to allow people to become closer.,1,"Since Jamie asked how her day was, I think she's more likely to talk about her feelings.",0,I think an adult is more likely to tell a kid about the lizards.,1,Peyton is a very close friend so I think Skylar might be more open.,0,Because a lot of people aren't open with their feelings,0,"I think since they aren't super close, Skylar will not want to go too heavy too early.",0,I think an adult is less likely to vent or be open to a kid so she will tell him about geese.,1,I think family tends to be more open and honest with their feelings.,2,15,2,"1,4",6,N/A,,
1,1,3,1,0,"Since she was asked about school, she would bring up something relevant to what she had learned.",0,"Since he is already happy, he would bring up a topic that he might find interesting.",0,This topic could be a good conversation starter to try and make new friends.,1,She would tell her about her feelings since no discussion of animals were brought up.,1,"Since Jamie did not mention anything about animals, she is more likely to talk about her mood.",0,I think this because he might use this topic to engage with something more relatable.,0,I think that Skylar will bring up this topic to distract himself from his feelings.,0,This topic would help him connect better with a potential friend instead of a negative subject.,0,Her feelings are not Skyler's business and introducing a friendly topic would be easier.,0,She would probably not want to make her son feel negative.,2,3,1,5,3,The study was great!,,
1,1,3,1,1,She wants to share her feelings.,1,She wants to share her feelings.,0,She's not too comfortable yet.,1,She wants Jaime to share in her happiness.,0,She wants to share something with Jaime.,1,Peyton is Skylar's super close best friend.,1,Finley is Skylar's friend.,0,He is not comfortable yet.,0,They don't want to upset Skylar.,0,She doesn't want Skylar to feel sad.,1,32,2,4,5,,,
0.899999976,1,3,1,1,Because people are more likely to share happy moments with friends,1,Because it is more likely and to share positive emotions with close friends,0,because it is an interesting fact that would give them something to talk about and build their friendship,1,Because moms are more likely to share positive experiences with their children to also make them happy,0,Because they are not so close so more likely to share an interesting fact,1,Because close friends are more likely to share emotional details with each other,0,Because Skylar is likely to share less emotional facts with a friend ,0,Because the facts about owls would make them interested as it is an interesting topic,0,Because they are not very close to share emotional details,0,Because it is more likely for moms to tell interesting facts than emotional details with their children,2,11,2,1,5,I have no comments,,
1,1,3,1,0,because that's Jamie's friend,0,because its a fun fact,1,because their at the pool having a fun time,0,because they both have something similar to talk about,0,because its awesome and why not,1,because if thats his best friend he will let him know,1,because if they are friends I think he would tell him,1,because Skylar isn't in the mood,0,because they have something in common,1,because that's their mom,2,1,2,2,2,,,
0.800000012,1,3,1,1,Jamie  will tell his friend about his happy mood and feeling,1,It is normal to relish happy moment with friends,1,It would be a great time to tell his friend about his happy mood and feeling,1,Mum would definitely share happy feeling and mood with her son,1,"Yes, she would share the happy feeling with him.",1,Skylar would  tell his closest friend about his feeling,1,The reason why for my choice was due to Skylar mood and non interest in owl story,0,Skylar would not want to spoil their mood so he would rather tell them about owl facts.,0,"Yes, the geese fact would be more interesting than a sad feeling",0,She would definitely tell him about fact on foxes rather than sad story.,2,11,2,1,5,,,
0.899999976,1,3,1,1,Because he is happy and not sad.,0,Because he was happy learning something new about the rabbit today.,0,Because they are new friends and something new and interesting would keep the conservation alive.,0,"Because both are happy and something new would make them more happier,",0,Because he learnt something new and therefore the eager to share it.,0,Because it is something new he learnt today.,0,Because it is something new he learnt  today.,0,Because he learnt something new about the Owl today.,0,About the geese because the it is his mom friend.,0,To cheer Skylar up.,1,22,2,1,5,,,
0.899999976,1,3,1,0,"Because he learned an interesting fact about rabbits, he will definately tell him",1,Because that's exactly how Jamie is feeling and how his day was.,0,The rabbit story is more interesting than just feeling happy.,1,Feeling happy is way more good that an  unrelated story about raccoons.,1,This is a common point for both of the friends...feeling happy.,1,"If Peyton asks Skylar why he is sad, the Skylar will tell him that he is feeling sad because of Owls.",1,Because already Skylar is feeling sad. Unless his friend asks him why he is sad then Skylar will tell him that he is feeling sad because of owls.,0,Because this is an interesting topic that can make Skylar make friends with other new people.,1,The mum's friend will tell about having a bad day because the story of geese does not relate to how the day was.,1,Because that's exactly how his mum is feeling.,1,2,2,2,5,none,,
0.899999976,1,3,1,0,"I don't think Jamie's feeling happy was about school - she was feeling happy, I thought, in general.  The fact about rabbits is something that specifically came from school and would therefore be associated with school in her mind.  ",0,"I don't think Jamie's feeling happy was about school - she was feeling happy, I thought, in general.  The fact about rabbits is something that specifically came from school and would therefore be associated with school in her mind.  ",1,"Sharing something about your feelings or emotions is a way to bind people closer.  It might backfire on her, but it also is more likely to create a strong bond than sharing a fact (in most circumstances - sometimes the right fact with the right person can be the start of a strong bond). ",1,Asking about someone's day is a bigger-picture question and I think describing her mood captures that picture more accurately than a fact she learned.  It may come out that one of the reasons she is feeling happy is because she learned a fact about raccoons.  ,1,"How was your day is a more general question.  If Jamie had asked about work, I think she would have shared the fact, but asking about the day is a bigger-picture question and I think her mood is a better capture of that than the fact she learned at work. ",1,I think feeling sad permeated his day and is probably the overwhelming thing he things of when thinking of the day.  ,1,I think feeling sad permeated his day and is probably the overwhelming thing he things of when thinking of the day.  ,0,Telling someone a hard emotional truth about yourself is hard and there's a very real fear you might scare the other person away.  It's probably safer to start with something more neutral.  ,0,This is not as close of a relationship and I think the friend's mom is more likely to stick with a benign fact than share her troubles. ,1,I think feeling sad permeated his day and is probably the overwhelming thing she things of when thinking of the day.  ,1,29,2,1,6,,,
0.899999976,1,3,1,1,She will not share the fact she learned at school because Taylor is not her best friend.,0,She will tell Robin the fact about rabbits she learned at school because Robin is her close best friend.,0,The fact about rabbits will strike a conversation and help them get closer.,0,Because they are close and it would get them closer.,0,She would be happy to talk about something exciting.,1,She would prioritize telling her she is feeling sad to at least get some comfort.,1,Because maybe she would be seeking comfort from her best friend.,0,It would help them get closer.,0,She would not want to put Skylar in an awkward position by telling her she is sad.,0,Because she would not want to have Skylar feeling bad about her being sad.,2,9,2,1,5,,,
0.899999976,1,3,1,0,"I think it was important enough to make her happy, I think she would share what made her happy",0,The fact about rabbits made her happy even after she learned it and I would think it is something she would share with her best friend.,0,"I think when we try to make friends, we share pieces of ourselves with them in order to show them who we are.  I think if she wanted to be friends with her she would share that with her.",0,"Knowing Jamie, I am sure her mom knows she likes learning about things and I am sure she would share it with her so she could enjoy it too",0,She might know that facts make Jamie happy so she may share that with her to increase her happiness,1,"When we are sad, sometimes we feel comfortable sharing that with our closest friends because they can try and help us feel better",1,"If the owl fact didn't override his sadness, I think the sadness would be at the forefront of his mind and that is what he would share.",0,He might share the owl fact because he might want to hide his sadness since they aren't close friends yet and he wants to protect that aspect of himself,0,She would share the fact about geese because she wouldn't want to burden her son's friends with her sadness,0,She probably would share the fact about foxes to protect her son from worrying about her being sad,1,30,2,1,5,,,
0.699999988,1,3,1,0,Jamie will want Taylor to know she learnt a new thing that day,0,"Because this not the first time Jamie would be feeling happy but this is the first time she is learning some interesting facts about rabbits. so, she would be eager to share her experience with her super close friends",0,This will make them have a longer conversation and bring them closer,0,Jamie's mom will want her daughter know she learnt some fact about raccoons and she would want her daughter to also learn about the raccoons,0,She would be eager to let Jamie know she learnt some facts about lizard,0,He might still talk to his super close best friend about the owls despite being sad since they are very close friends,1,"Skylar will let his friend know that he feels sad. since he is feeling sad, he won't be interested in talking about the owls",0,Skylar will tell the new friend facts about the owls so they can have time to discuss more,1,The friend's mom won't be interested in talking to Skylar about the Geese,0,"His mom will tell him facts about the foxes because no matter how sad the mom is, she will always have time for her son",1,11,2,2,6,no,,
0.899999976,1,3,1,1,Because he learnt some facts about Rabbits,1,Because he learnt fact about Rabbits,0,Because that made him happy at school,1,Because she learnt about Raccoons at work,1,Because he learnt facts about lizards,1,Because he learnt facts about Owls,1,Because he learnt the fact about Owls,1,Because he learnt facts about Owls,1,Because she learnt facts about Geese,1,Because she learnt facts about Foxes,2,56,2,1,6,none,,
0.600000024,1,3,1,1,Because Jamie learn facts about Rabbits ,1,Because he learnt facts about  Rabbits,1,Because he learnt facts about Rabbits,1,Because she learnt about Raccoons at work,1,Because she learnt about lizards at work,1,Because he learnt facts about Owls,1,Because he learnt facts about Owls,1,Because he learnt facts about Owls,1,Because she learnt facts about Geese,1,Because she learnt facts about Foxes,2,30,2,1,7,none,,
0.899999976,1,3,4,0,She will tell of the fact about rabbit because Taylor asked how was school which means Jamie will tell what she learnt..,1,she will tell how happy she is because the friend will notice it which will make Jamie tell why she is so happy.,0,"In order to become super best friends, she will tell the fact of rabbits which probably the friend doesn't know where it will bring up a discussions making them friends.",0,She would tell about raccoons to educate her child of a new topic.,0,She is likely to tell of the facts about lizards because she wants to share and educate Jamie about them.,1,"Since she was asked how school was, she will say it was not good and she felt sad. She will then say the reason as to why she was sad.",1,She will tell that school was bad because she was not happy of what she learnt. This will end up as a discussion.,0,She will tell about her feeling sad because the friend will feel pity on her bringing them close unlike telling about owls and probably the friend hates owls.,1,She will tell first why she felt sad before the fact about goose because she might say about the goose and it happens Skylar knows the fact and it will be an embarrassment to her.,1,It's her mom she will say she was sad first before telling why.,2,6,2,2,5,It was good.,,
1,1,3,1,0,"Again, kids love telling everyone things they learn.",0,Kids usually love to tell other people what they learned.,0,It would be a way to start conversation.,0,I'm sure their mom knows they would love to talk about what she learned.,0,Adults know kids love talking about random information.,1,They will want their friend to know how they feel.,1,Kids usually can't focus on anything but their feelings if they are upset.,0,Likely hoping it will help start a conversation with them.,1,Hoping an adult can help make them feel better.,1,They are hoping their mom can help make them feel better.,2,15,2,1,5,,,
0.899999976,1,3,1,0,"She will tell her friend the fact about the rabbits, as it's intriguing.",0,It's very interesting knowledge for Jamie and she wants to spread it.,0,"There's not much to go off of: ""I'm feeling really happy today"". The rabbit fact is more interesting.",0,"Well, it would seem that everyone is learning facts about animals today, so why not share them?",0,"I don't think Jamie's friend's mom would discuss either with Jamie, but if I had to choose one, it'd be the lizard fact and that's because it's interesting.",1,"They are ""super close best friends"", so naturally Skylar would want some cheering up from Peyton.",1,Because children have a very difficult time dealing with sadness and the owl fact didn't interest him.,0,"Well, since he wanted to become friends with this person, telling them you're sad is not a good way to start,",0,"Likely because she is an adult, she wouldn't want to upset a child.",0,She is an adult and doesn't want to upset her child.,1,64,2,1,2,"None, but thank you for the opportunity.",,
1,1,3,1,0,"She only needs to express her happiness to taylor, she will need to explain to taylor her reason for being happy",0,She would not need to tell her close friend about feeling happy because her friend would see it in her actions. But her friend would have to tell her about the information she learnt about the rabbit for her to know that,1,This person is not close to her yet so in the mean time she will tell her how happy she is hoping it will bring them closer,0,Because its her mom and she will want to give her child an exciting news,0,She will explain to her what makes her happy,1,He needs to feel happy first in order to tell hes friend about the owls,1,Because Skylar is feeling too sad and needs someone to make him feel better,0,since they are not yet close friends ,0,just to feel better and make him feel better,1,its hes mom and he will need her to make him feel better,2,12,2,1,6,,,
0.800000012,1,3,1,1,Since during the entire day from morning she was happy even before discovering about rabbits.,0,Because she learnt something new that rabbits move by legs.,0,The story about the rabbits will triger attentiom from the different friend since the friend will want to know more about it,1,Since Jamie is her daughter she will fast express her feeling to her daughter,0,Since Jamie is a child she will find more interest to learn more about lizards,0,Since they are super friends she will tell him about the owls since it was something new she learnt from school that day,1,Since she was sad she may have not seen anything interesting about the owls,0,The story about owls will trigger attention from the new friend,0,Since Syklar is younger than her she will not find any reason of expressing the sad mood with him,0,Since Skylar is his son son she will try to hide the sad mood from his son and instead tell him about the foxes,1,11,2,1,5,,,
1,1,3,1,0,Because of Jamie's excitement about the facts she learned about rabbits.,0,Jamie is excited about the fact she learned about rabbits.,1,People want to be friends with other happy people.,1,Mom's want their kids to know they are happy.,1,She wants Jamie to feel as ease knowing she's happy.,1,He's his best friend.,0,Not really a close friend of Skylar's.,0,If Skylar is trying to make friends telling others you're sad isn't a good start.,0,She's not his mom.,0,Mom wants to not let Skylar know she's sad.,2,17,2,3,5,,,
0.800000012,1,3,1,1,I think it might be the correct option based on the information provided.,0,The facts about rabbit was really good than the other.,1,I think might feel really happy.,0,The fact about raccoons was really good.,1,She might be feeling really happy.,1,Because of the facts about owls,1,It is based on the facts,0,Facts might be the interesting one.,1,Feeling really sad.,1,Sad is the thing to be information,1,16,2,1,5,None,,
0.800000012,1,3,1,0,Jamie will likely to talk about the rabbit and how he hopes. ,0,This is something interesting.,0,I think Rabbit is an interesting story to jumpstart the conversation,1,The fact about racoons is a bit complex to Jamie,1,She is likely to keep the conversation short by saying she is happy due to age gap,0,She is learning something new,0,Telling Finley about the truth will make Skylar more relaxed,0,She is going to have a starting point for their friendship,0,Yes she is likely to bring up the topic to explain why she is sad,0,She will tell her about the fox instead of talking about being sad,2,14,2,1,5,I like the twist of the survey,,
0.899999976,1,3,2,0,That is what made him happy.,0,They are close so he will definitely tell his close best friend about it.,0,"The fact that Jamie wants her to be her friend, Jamie will be excited to talk about it.",1,"Feeling happy because it will lead to the next question ""why"" she is happy.",1,I think they are still not close enough to talk about each other's day.,1,They are super close; Skylar will be free to talk to Peyton about it.,0,Skylar may not feel free to talk about being sad but rather talk about something different.,0,It will be easier to mingle based on the topic presented.,0,"Being an adult, Skylar's friend's mum will probably try to lighten Skylar's mood.",0,Probably to mask her feelings.,1,23,2,1,7,None.,,
0.899999976,1,3,1,0,Because he learned about rabbit and  how rabbits jump,0,Because he was learned,0,Of course he will talk about rabbits because he is very happyto learn about rabbits jump,0,"The fact about raccoons is novel and specific, making it a likely candidate for conversation, especially if it's something she found amusing or interesting.",0,"is a specific, shareable piece of information that feels fun or interesting to pass on, especially to a kid like Jamie.  People often share facts they just learned because they're fresh and memorable, especially if they think the listener might find it cool too.",1,"Skylar is still feeling sad, so that emotion is probably stronger and more present than the memory of the owl fact.",1,"With regular friends, people often hold back deeper emotions, especially if they’re not sure how the other person will respond.",1,Skylar might sense that being honest about how he feels could make the other person feel trusted and more connected to him.,1,Sharing sadness would be too vulnerable for a casual interaction with a friend’s child.,1,"Since this is Skylar’s mom, someone he’s very close to and who likely feels safe being honest with him, it’s most likely that she’ll tell him she’s feeling sad — rather than just sharing the fact about foxes.",1,24,2,1,5,,,
0.899999976,1,3,1,0,She learned something new.,1,"Happiness is an emotion, and people tend to share emotions with the people closest to them.",0,Jamie would wont to show the potential friend that she is super smart.,0,Jamie's mom would want to share her new knowledge.,0,The friends mom would want to educate Jamie.,1,"Peyton is Skylar's super close friend, so they tend to tell each other their emotions.",0,"They aren't super close, so he'll share what he learned about the owls.",0,He wants to impress the friend.,0,It's odd for a grown up to share some emotions with kids.,1,They are super close so they share emotions.,1,15,2,1,5,,,
0.899999976,1,3,1,1,"I think she wants to talk about something positive and uplifting, it means something to her.",0,because the conversation was about school today and it would be relevant,1,"it is something that people generally want to hear about from others, keeps the mood light and positive",1,they both felt happy today and keep the conversation light,1,I think they would keep the cenversation general and both are feeling happy today,0,"she would not want to bring up her feeling sad, she would avoid talking about that",0,"she would ant to avoid talking about being sad, she would want to divert the attention to the owl facts",0,"talking about being sad would be depressing and repell the other persons interst, better to keep the conversation light and positive",0,"the mother would not want to burden skylar with her problems, she would want to avoid talking about that",0,"she would want to avoid telling her about feeling bad and talk about the fox story instead, she would not want to burden skyler with her feelings",2,34,2,1,3,none,,
1,1,3,1,1,Happiness is more salient than some animal facts.,1,Jamie has probably already forgotten about the rabbits.,0,Jamie though the fun fact about rabbits would interest their would-be friend more.,0,Jamie's Mom wanted to educate Jamie.,1,Jamie’s friend’s mom did not want to go into a big song-and-dance about Lizards.,1,Only friends can help you feel better when you've you've got the blues..,1,Only friends can cheer you up when you are sad.,0,Telling someone you are sad repels them.,0,"Adults do not confide their feelings to kids,",0,Skylar's mom does not want to bring Skylar down.,2,51,2,1,5,,,
0.899999976,1,3,1,0,because it was an interesting fact jamie learnt about rabbits,0,because the interesting fact about rabbit made jamie happy,1,he will tell the friend the feeling he is feeling by sharing to make a good first talk,0,"the fact about racoons was new to jamie mother,and she would i have felt worth to share with son",0,the fact about lizards was more worth to share,1,sharing the feeling of sadness will make skylar feel better,1,sharing the feeling of sadness will make skylar feel better,0,skylar will share the fact about owls to avoid showing his friengd that he is sad,1,"the mother will tell her child how she is feeling , do feel better",0,to avoid showing and opening to skylar that she is sad,1,26,1,1,5,the research was brainstorming,,
1,1,3,1,0,Because Jamie just learned it in school and Taylor asked about school.,0,Because Robin asked about school and Jamie learned about rabbits in school.,1,Because Jamie wants to make a happy impression on a potential new friend. Jamie might tell the friend about the rabbits later.,1,"Because Jamie asked about how the day was going, not about rabbits.",1,Because she was answering a question about her day. Feeling happy is a more natural reaction than blurting out random facts about lizrds.,1,Because feeling sad overwhelms all other thoughts.,1,Because he is feeling sad and he can't think about owls right now.,0,Because telling people you are sad is a bad way to win friends.,0,Because adults rarely tell kids when they are sad to not upset them.,0,To shield her sadness from her child Skylar.,2,42,2,1,3,,,
1,1,3,1,0,"Taylor asked about Jamie's day at school, so I imagine Jamie would give a response about what she learned in school versus how she is currently feeling.",0,I believe Jamie wants to share what she learned about rabbits in school today since Robin asked her about her day at school.,0,Jamie may share the information she learned about rabbits to her other friend because it's a way to break the ice and share a fun fact.,1,"I think she may tell Jamie she is happy and had a good day, as I am not sure if the fact that she learned about raccoons would be appropriate to share with her daughter.",1,I think she may tell Jamie that her day went well and not disclose the fact about lizards as to keep the conversation kid friendly.,1,"Skylar is feeling sad, which is what he most likely is focused on at the moment, so I believe he talks about his sadness with his friend.",1,"Skylar is sad, and might want to talk about why he is sad with his friend.",1,Skylar may want to reveal why he is sad to his friend so that he could build a bond to make the friendship stronger.,0,"Skylar's mom probably doesn't want Skylar to know that she is sad, and wants to protect him and uplift his spirits, so I think she may bring up the fact about geese.",0,"I think she would want to uplift his spirits, so I think she would bring up the fact about foxes.",1,30,2,2,5,No,,
0.899999976,1,3,1,0,"I think she will tell her friend what she learned about rabbits, as it directly related to her school day.",0,"I think that Jamie also will tell her super close best friend, Robin, about the rabbits, as that it was her school day was part of. ",0,"I think that Jamie will also tell her friend, who she wanted to become super close best friends with about the rabbits, as she may feel that this would make a good impression. ",1,"Because it is her mom, who she is super close to, I think that the Mom will tell her about her happiness today.",0,I think that her friends mom will tell Jamie about the lizard facts that she learned of because that is less personal and something interesting to say to Jamie.,1,"I think that Skylar will tell Peyton about his sadness today, as he cannot get it off his mind and Peyton is a super close best friend whom he shares his feelings with..",0,I think that Skylar will tell Finley about the owl facts that he learned at school because that is less personal and something interesting to discuss. ,0,"I think that Skylar will tell the friend, whom he wanted as a new super close best friend about the owl because that would lead into an interesting conversation. ",0,I think that the mom will tell Skylar about the geese facts because telling a child about her sadness would be a personal topic and best to avoid. ,0,I think that Skylar's mom will tell him about the foxes because she doesn't want to make him feel sad discussing her feelings of sadness. ,1,48,2,1,3,Thank you for allowing me to participate in this survey. Have a great rest of your day and take care!,,
